"sched_name_desc","sched_type_desc","division_name","sched_agegroup","sched_pool","visit_sched_pool","home_cup_pool","visit_cup_pool","sched_status_desc","Date","Time","field_name","home_team","home_club","home_district","home_score","visit_score","visit_team","visit_club","visit_district","game_no","sched_notes",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-09-17"," 8:00PM","Tyndall Turf","SFFC  GBE (D3)","saa","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-09-23"," 7:30PM","PISE","Castaways FC (D3)","cas","          ","","","Prospect Lake Lakers (D3)","pfc","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-09-30"," 7:00PM","The Log","Sooke Celtic Football Club (D3)","vwf","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-10-09"," 4:00PM","Hampton Park - Kulai- Turf","Gorge FC (D3)","gfc","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-10-15"," 6:00PM","PISE","Castaways FC (D3)","cas","          ","","","JDF Kings (D3)","jfc","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-10-22"," 4:00PM","Sherman Road Turf","Cowichan Oak FC (D3)","cfc","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-10-30","12:00PM","Blanshard","Castaways FC (D3)","cas","          ","","","Vic West FC  (D3)","vwf","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-11-06"," 6:00PM","Ladysmith Turf","Mid Isle Mariners (D3)","mfc","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-11-12"," 2:15PM","Heywood Park","Vantreights FC (D3)","van","          ","","","Castaways FC (D3)","cas","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-11-20","12:00PM","Blanshard","Castaways FC (D3)","cas","          ","","","SFFC  GBE (D3)","saa","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-11-27"," 2:15PM","Layritz Turf","Prospect Lake Lakers (D3)","pfc","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-12-04","12:00PM","Blanshard","Castaways FC (D3)","cas","          ","","","Sooke Celtic Football Club (D3)","vwf","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2022-12-09"," 7:30PM","PISE","Castaways FC (D3)","cas","          ","","","Gorge FC (D3)","gfc","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2023-01-14"," 6:00PM","Starlight Stadium","JDF Kings (D3)","jfc","          ","","","Castaways FC (D3)","cas","          ","","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2023-01-20"," 7:30PM","PISE","Castaways FC (D3)","cas","          ","","","Cowichan Oak FC (D3)","cfc","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2023-01-27"," 6:00PM","TBD","Vic West FC  (D3)","vwf","          ","","","Castaways FC (D3)","cas","          ","               ","",
"Winter                                  ","League                                  ","Division 3","U99","A","A","","","Active                                  ","2023-02-05","12:00PM","Blanshard","Castaways FC (D3)","cas","          ","","","Mid Isle Mariners (D3)","mfc","          ","","",
